install_time,media_channel,operating_system,visitor_id,attr_id
"January 1, 2025, 12:27 AM",Google,android,visitor0013399,1735-0000101
"January 1, 2025, 12:28 AM",Google,android,visitor0018717,1735-0000102
"January 1, 2025, 12:29 AM",Google,android,visitor0105356,1735-0000103
"January 1, 2025, 12:30 AM",Google,android,visitor0019740,1735-0000104
"January 1, 2025, 12:31 AM",Google,android,visitor0076691,1735-0000105
"January 1, 2025, 12:31 AM",Google,android,visitor0039586,1735-0000106
"January 1, 2025, 12:32 AM",Google,android,visitor0073242,1735-0000107
"January 1, 2025, 12:35 AM",Google,android,visitor0104662,1735-0000108
"January 1, 2025, 12:37 AM",Google,ios,visitor0068809,1735-0000109
"January 1, 2025, 12:38 AM",Google,ios,visitor0007655,1735-0000110
"January 1, 2025, 12:39 AM",Google,android,visitor0100316,1735-0000111
"January 1, 2025, 12:39 AM",Google,android,visitor0078517,1735-0000112
"January 1, 2025, 12:57 AM",Google,ios,visitor0053154,1735-0000113
"January 1, 2025, 12:42 AM",Google,android,visitor0034699,1735-0000114
"January 1, 2025, 12:44 AM",Google,android,visitor0069171,1735-0000115
"January 1, 2025, 12:46 AM",Google,android,visitor0098388,1735-0000116
"January 1, 2025, 12:49 AM",Google,ios,visitor0112561,1735-0000117
"January 1, 2025, 12:48 AM",Google,android,visitor0027196,1735-0000118
"January 1, 2025, 12:52 AM",Google,android,visitor0085142,1735-0000119
"January 1, 2025, 12:52 AM",Google,android,visitor0116288,1735-0000120
"January 1, 2025, 12:53 AM",Google,android,visitor0068427,1735-0000121
"January 1, 2025, 12:54 AM",Google,android,visitor0091165,1735-0000122
"January 1, 2025, 12:55 AM",Google,android,visitor0102061,1735-0000123
"January 1, 2025, 12:59 AM",Google,android,visitor0097596,1735-0000124
"January 1, 2025, 12:59 AM",Google,android,visitor0028750,1735-0000125
"January 1, 2025, 1:00 AM",Google,ios,visitor0118733,1735-0000126
"January 1, 2025, 1:03 AM",Google,ios,visitor0006248,1735-0000127
"January 1, 2025, 1:02 AM",Google,ios,visitor0058213,1735-0000128
"January 1, 2025, 1:06 AM",Google,android,visitor0119936,1735-0000129
"January 1, 2025, 6:12 AM",Google,android,visitor0076689,1735-0000130
"January 1, 2025, 1:08 AM",Google,android,visitor0038940,1735-0000131
"January 1, 2025, 1:10 AM",Google,android,visitor0009123,1735-0000132
"January 1, 2025, 1:11 AM",Google,android,visitor0003467,1735-0000133
"January 1, 2025, 1:11 AM",Google,android,visitor0033852,1735-0000134
"January 1, 2025, 1:18 AM",Google,ios,visitor0065209,1735-0000135
"January 1, 2025, 1:16 AM",Google,android,visitor0029851,1735-0000136
"January 1, 2025, 1:16 AM",Google,android,visitor0016412,1735-0000137
"January 1, 2025, 1:17 AM",Google,ios,visitor0057725,1735-0000138
"January 1, 2025, 1:17 AM",Google,android,visitor0090740,1735-0000139
"January 1, 2025, 1:21 AM",Google,ios,visitor0088372,1735-0000140
"January 1, 2025, 1:20 AM",Google,android,visitor0062315,1735-0000141
"January 1, 2025, 1:21 AM",Google,android,visitor0100402,1735-0000142
"January 1, 2025, 1:22 AM",Google,android,visitor0068292,1735-0000143
"January 1, 2025, 1:23 AM",Google,ios,visitor0067334,1735-0000144
"January 1, 2025, 1:22 AM",Google,android,visitor0085459,1735-0000145
"January 1, 2025, 1:24 AM",Google,android,visitor0066888,1735-0000146
"January 1, 2025, 1:57 AM",Google,ios,visitor0089353,1735-0000147
"January 1, 2025, 1:24 AM",Google,android,visitor0120699,1735-0000148
"January 1, 2025, 1:25 AM",Google,ios,visitor0064148,1735-0000149
"January 1, 2025, 1:25 AM",Google,android,visitor0035114,1735-0000150
"January 1, 2025, 1:27 AM",Google,android,visitor0105653,1735-0000151
"January 1, 2025, 1:28 AM",Google,android,visitor0056138,1735-0000152
"January 1, 2025, 1:29 AM",Google,android,visitor0057326,1735-0000153
"January 1, 2025, 1:32 AM",Google,android,visitor0081569,1735-0000154
"January 1, 2025, 1:32 AM",Google,android,visitor0059745,1735-0000155
