install_time,media_channel,operating_system,visitor_id
"January 28, 2025, 7:07 AM",Twitter,ios,visitor0007149
"February 3, 2025, 1:45 AM",Facebook,android,visitor0007150
"January 2, 2025, 7:56 AM",YouTube,ios,visitor0007151
"January 18, 2025, 2:15 PM",Twitter,ios,visitor0007155
"January 20, 2025, 8:18 AM",YouTube,android,visitor0007156
"February 10, 2025, 2:05 AM",Twitter,ios,visitor0007161
"January 8, 2025, 8:01 PM",YouTube,android,visitor0007162
"January 6, 2025, 6:50 PM",Facebook,android,visitor0007163
"January 3, 2025, 1:29 AM",Facebook,android,visitor0007167
"January 30, 2025, 12:22 PM",YouTube,ios,visitor0007168
"January 26, 2025, 9:55 AM",Twitter,android,visitor0007170
"January 23, 2025, 12:42 AM",Facebook,android,visitor0007173
"January 8, 2025, 6:15 AM",Facebook,android,visitor0007187
"January 14, 2025, 4:44 PM",Twitter,ios,visitor0007188
"February 25, 2025, 7:36 AM",Twitter,ios,visitor0007189
"January 1, 2025, 2:30 PM",Facebook,android,visitor0007196
"January 4, 2025, 9:00 PM",YouTube,ios,visitor0007199
"January 20, 2025, 7:54 AM",Facebook,android,visitor0007702
"February 23, 2025, 7:54 PM",Twitter,ios,visitor0007704
"January 18, 2025, 3:57 PM",Facebook,android,visitor0007708
"February 19, 2025, 12:59 PM",Twitter,ios,visitor0007709
"February 13, 2025, 5:51 PM",YouTube,ios,visitor0007713
"January 2, 2025, 5:34 AM",Facebook,android,visitor0007715
"January 10, 2025, 10:01 PM",Twitter,ios,visitor0007718
"January 6, 2025, 3:48 AM",Facebook,android,visitor0007719
"February 6, 2025, 6:04 PM",Twitter,android,visitor0007720
"January 29, 2025, 2:54 AM",YouTube,ios,visitor0007721
"January 2, 2025, 9:35 AM",YouTube,android,visitor0007722
"February 9, 2025, 12:22 AM",YouTube,android,visitor0007724
"January 9, 2025, 3:36 AM",Twitter,ios,visitor0007726
"January 7, 2025, 1:09 AM",YouTube,android,visitor0007730
"February 21, 2025, 5:20 AM",Twitter,ios,visitor0007731
"February 13, 2025, 3:43 PM",Twitter,ios,visitor0007733
"January 16, 2025, 5:50 PM",Twitter,ios,visitor0007734
"January 10, 2025, 4:48 AM",YouTube,ios,visitor0007735
"January 25, 2025, 1:43 AM",Twitter,ios,visitor0007742
"February 24, 2025, 4:05 AM",Twitter,ios,visitor0007753
"February 20, 2025, 2:12 AM",Twitter,ios,visitor0007757
"February 21, 2025, 10:39 PM",YouTube,ios,visitor0007759
"January 21, 2025, 5:13 AM",Facebook,android,visitor0007760
"January 23, 2025, 1:59 PM",Twitter,android,visitor0007762
"January 13, 2025, 5:22 PM",Facebook,android,visitor0007764
"January 9, 2025, 7:20 PM",Twitter,android,visitor0007766
"February 22, 2025, 12:16 AM",Facebook,android,visitor0007773
"January 20, 2025, 7:28 PM",Twitter,ios,visitor0007775
"February 25, 2025, 4:31 PM",Twitter,ios,visitor0007776
"January 15, 2025, 1:47 AM",Twitter,ios,visitor0007777
"February 15, 2025, 3:48 AM",Facebook,android,visitor0007786
"February 24, 2025, 3:31 AM",Twitter,ios,visitor0007789
"February 10, 2025, 12:54 AM",Twitter,ios,visitor0007790
"January 15, 2025, 4:18 PM",Twitter,ios,visitor0007791
"February 13, 2025, 4:34 PM",Facebook,android,visitor0007793
"January 7, 2025, 3:18 PM",YouTube,android,visitor0007795
"February 4, 2025, 12:00 AM",YouTube,ios,visitor0007797
"January 12, 2025, 3:55 PM",Twitter,ios,visitor0007798
"January 4, 2025, 1:43 PM",Twitter,ios,visitor0008301
"January 29, 2025, 5:31 AM",Facebook,android,visitor0008304
"January 4, 2025, 2:41 PM",Twitter,android,visitor0008307
"January 6, 2025, 3:54 AM",Facebook,android,visitor0008309
"January 30, 2025, 2:34 AM",YouTube,android,visitor0008319
"February 4, 2025, 6:56 AM",Facebook,android,visitor0008321
"February 1, 2025, 8:30 AM",Facebook,android,visitor0008336
"January 9, 2025, 8:21 PM",Facebook,android,visitor0008339
"February 9, 2025, 2:00 AM",Twitter,android,visitor0008345
"February 21, 2025, 11:55 PM",Facebook,android,visitor0008347
"January 12, 2025, 2:52 PM",Twitter,ios,visitor0008349
"February 17, 2025, 7:51 AM",Twitter,ios,visitor0008350
"February 25, 2025, 4:54 PM",Twitter,ios,visitor0008351
"February 8, 2025, 11:34 PM",Twitter,ios,visitor0008352
"January 8, 2025, 3:19 AM",Facebook,android,visitor0008355
"February 28, 2025, 7:42 AM",YouTube,android,visitor0008358
"January 28, 2025, 10:52 PM",Twitter,ios,visitor0008361
"February 8, 2025, 3:42 PM",Facebook,android,visitor0008364
"February 20, 2025, 4:09 PM",YouTube,ios,visitor0008366
"January 30, 2025, 11:51 PM",Twitter,ios,visitor0008368
"February 10, 2025, 3:13 PM",Twitter,ios,visitor0008370
"February 25, 2025, 1:59 PM",Twitter,android,visitor0008371
"February 21, 2025, 7:24 PM",Twitter,android,visitor0008376
"February 21, 2025, 3:37 AM",Twitter,ios,visitor0008380
"February 23, 2025, 11:36 AM",Facebook,android,visitor0008382
"February 10, 2025, 10:28 PM",Twitter,ios,visitor0008383
"January 23, 2025, 3:42 PM",Facebook,android,visitor0008386
"February 18, 2025, 9:01 PM",Twitter,ios,visitor0008393
"January 4, 2025, 12:33 AM",Twitter,ios,visitor0008395
"February 23, 2025, 4:40 AM",YouTube,android,visitor0008398
"January 2, 2025, 1:46 AM",Twitter,ios,visitor0008399
"January 3, 2025, 10:08 PM",Twitter,ios,visitor0008904
"February 25, 2025, 6:03 PM",YouTube,ios,visitor0008905
"January 3, 2025, 7:25 PM",YouTube,android,visitor0008906
"January 17, 2025, 6:13 AM",Facebook,android,visitor0008907
"January 1, 2025, 6:13 PM",Facebook,android,visitor0008908
"January 8, 2025, 5:50 PM",YouTube,android,visitor0008912
"January 2, 2025, 4:11 PM",Facebook,android,visitor0008913
"February 2, 2025, 1:14 AM",Twitter,ios,visitor0008919
"February 17, 2025, 5:50 PM",Twitter,ios,visitor0008924
"January 19, 2025, 9:52 PM",Facebook,android,visitor0008925
"January 7, 2025, 11:53 PM",YouTube,ios,visitor0008926
