"user_id","ltv"
user0037111,109.80
user0074732,10.62
user0074483,52.70
user0082262,188.90
user0025767,10.74
user0062950,23.99
user0058456,42.05
user0053034,86.82
user0010952,37.62
user0048887,16.85
user0120905,136.56
user0095206,24.94
user0029826,10.55
user0085878,12.91
user0054979,11.96
user0023000,10.32
user0043624,11.99
user0011870,10.25
user0103516,20.63
user0106619,28.22
user0020461,11.06
user0118177,31.51
user0073073,10.11
user0106680,11.8
user0043444,21.87
user0045867,10.91
user0035291,399.60
user0024466,10.79
user0070346,10.04
user0049745,27.83
user0064187,37.96
user0016522,32.98
user0055233,10.76
user0010404,22.8
user0051750,35.48
user0058774,10.29
user0107238,155.59
user0086155,11.16
user0081366,16.14
user0058032,21.7
user0099283,147.57
user0070447,24.37
user0008055,23.70
user0023263,22.11
user0058526,11.33
user0058151,29.12
user0075543,10.19
user0091818,11.16
user0117015,21.84
user0051182,489.12
user0101809,18.58
user0074050,22.73
user0103157,309.08
user0114242,11.36
user0116546,18.88
user0118023,107.14
user0054466,12.33
user0106118,131.81
user0045759,21.61
user0091941,199.94
user0078996,11.44
user0016911,26.01
user0036002,67.98
user0064762,41.16
user0078573,22.06
user0009356,10.59
user0094239,38.31
user0001540,54.27
user0075243,10.81
user0019932,151.07
user0113060,12.5
user0112350,11.02
user0107155,37.26
user0114579,30.85
user0076814,10.38
user0102086,342.38
user0026035,81.87
user0063850,41.41
user0109758,11.19
user0060220,10.12
user0020730,65.81
user0034701,11.09
user0047771,10.88
user0101237,10.91
user0072694,13.54
user0035407,20.32
user0043317,11.19
user0026940,14.17
user0017836,11.59
user0014593,65.79
user0105290,174.43
user0072007,319.98
user0077496,23.36
user0100852,59.53
user0033214,37.29
user0105119,156.84
user0090116,10.86
user0050647,69.28
user0095866,10.86
user0022925,10.01
user0117115,11.79
user0051782,31.74
user0004726,22.99
user0009521,37.63
user0044854,11.36
user0121333,16.57
user0059709,24.37
user0120888,182.05
user0055467,14.03
user0026262,10.56
user0014585,24.89
user0098354,31.76
user0024811,21.82
user0120938,10.92
user0076460,12.28
user0060408,11.55
user0075421,24.22
user0011334,12.28
user0007743,130.64
user0058440,134.38
user0089929,20.29
user0013646,11.19
user0026470,11.11
user0057718,10.67
user0026522,10.04
user0037744,12.46
user0057783,98.81
user0033128,12.24
user0096229,11
user0005675,68.34
user0104158,21.84
user0070153,71.07
user0079638,147.79
user0012474,30.83
user0030868,10.98
user0121500,134.82
user0044696,255.39
user0014223,10.28
user0059355,140.73
user0010010,11
user0006231,11.18
user0094922,556.48
user0057974,10.25
user0079885,10.53
user0069734,10.01
user0025176,41.72
user0000630,12.59
user0081128,179.14
user0040011,53.67
user0045652,11.41
user0085064,223.16
user0022726,40.15
user0111785,12.33
user0085494,11
user0104180,51.39
user0114112,38.90
user0064994,10.48
user0121087,11.05
user0068798,13.46
user0091544,12.77
user0086791,12.94
user0121417,10.92
user0019439,183.11
user0009032,21.52
user0093882,105.45
user0015900,10.25
user0112175,10.76
user0009338,11.93
user0019686,291.47
user0045307,12.59
user0088961,36.48
user0037835,10.74
user0059941,11.1
user0037965,11.65
user0074569,74.09
user0006899,41.71
user0070224,21.54
user0106642,10.82
user0027526,10.88
user0038163,10.06
user0089978,40.83
user0004712,11.89
user0000529,30.68
user0000660,62.53
user0018720,663.83
user0097171,11.18
user0086584,10.04
user0042453,90.03
user0055647,84.83
user0052484,12.03
user0101888,12.92
user0045956,20.2
user0117868,65.79
user0015320,11.34
user0012365,32.33
user0040695,28.23
user0025762,22.21
user0011189,46.49
user0086753,22.17
user0110430,11.52
user0084391,11.82
user0084288,10.04
user0065596,49.89
user0118955,10.86
user0069517,11.09
user0076468,13.71
user0090891,15.14
user0097461,10.74
user0101891,25.96
user0059720,12.51
user0050444,10.9
user0073480,112.47
user0090340,10.29
user0112130,16.1
user0068450,13.01
user0106020,10.01
user0007069,22.60
user0018560,11.7
user0005618,10.89
user0118568,12.33
user0067558,23.31
user0007365,44.22
user0025888,33.55
user0063765,24.79
user0110677,22.88
user0005627,10.92
user0115991,24.77
user0031630,21.74
user0048519,286.71
user0112419,20.96
user0066416,21.86
user0058020,20.57
user0027069,22.23
user0091760,10.21
user0028007,10.82
user0038476,10.78
user0026147,10.58
user0033390,11.23
user0022620,13.76
user0119501,107.31
user0046774,12.46
user0064936,23.54
user0044758,54.44
user0030369,305.19
user0015362,10.25
user0031743,10.28
user0002168,12.75
user0113710,23.69
user0035517,93.55
user0047641,10.78
user0113323,25.71
user0079531,41.72
user0077390,11.25
user0027643,35.48
user0005905,13.71
user0118233,12.84
user0107165,160.26
user0113545,12.49
user0035628,24.29
user0070748,11.51
user0014583,12.45
user0025100,10.19
user0016129,16.29
user0095758,11.65
user0042532,20.26
user0115211,17.21
user0002683,10.77
user0063402,86.59
user0080130,18.61
user0003874,11.16
user0001085,10.92
user0098899,10.86
user0073239,10.78
user0034307,11.27
user0052876,323.62
user0020916,11.2
user0056572,12.45
user0026236,23.07
user0111191,12.98
user0011377,11.7
user0029171,12.88
user0114736,12.07
user0024902,22.32
user0087406,11.16
user0056573,10.1
user0086913,11.54
user0077990,36.28
user0035923,260.37
user0111796,10.49
user0058217,531.29
user0097497,11.34
